dane,tema_matematica,tema_lenguaje,prmat_alto_07_p,prlen_alto_07_p,tema_lenguaje_d,tema_matematica_d,prmat_alto_10_p,prlen_alto_10_p,Progresolen11,Progresomat11,aprobación5,aprobación9,rtextra,Progresolen5,Progresolen9,Progresomat5,Progresomat9,avanzado_m9,avanzado_m5,avanzado_l9,avanzado_l5
205001007735,44.48,45.01,0,0,46.27,42.33,0,0,51.93589,50.85007,.95,.94,.8837209,53.04024,53.90601,50.53764,53.90601,0,0,0,0
205001009797,47.67,49.19,1.324503,1.324503,46.27,45.01,.7575758,.7575758,42.87234,46.153,1,.8550724,.7348485,,55.78415,,59.25463,3,14,0,9
205001009916,,,,,,,,,,,.991453,,,50.12165,,50.21505,,,0,,0
205001010264,44.48,47.14,1.886792,0,46.16,42.375,0,0,37.6129,52.46522,.9324324,.8967742,.8809524,52.84457,35.14503,28.02024,38.62173,1,1,1,6
205001010281,44.48,42.76,0,0,48.28,39.53,0,0,50.22043,31.33151,.796875,.849315,.9268293,52.78799,,51.89638,,0,3,0,6
205001011031,44.48,47.14,0,0,46.27,42.42,0,0,60.89011,52.55022,1,.8939394,.8918919,,64.40379,,67.67738,4,20,2,25
205001012534,44.48,45.01,.621118,0,46.27,45.01,.6369427,0,51.93589,54.67541,.916624,.9327354,.8980892,,56.52336,,52.07561,2,8,1,10
205001014308,,,,,,,,,,,.9777778,,,35.21919,,50.53223,,,18,,0
205001018745,44.48,47.14,0,0,43.93,39.53,0,0,3.204301,31.33151,.9565217,.9365079,.7222222,50.36559,,50.16727,,0,4,0,6
205001019318,44.48,48.165,0,1.06383,50.31,47.81,0,0,86.13087,57.31064,.8585271,.8646305,.886076,47.14876,70.57021,35.07778,55.44505,1,4,4,7
105001025844,44.48,45.01,0,0,,,,,,,,,,46.98526,51.88562,57.32238,37.94544,1,28,0,3
205001019989,,,,,,,,,,,.9046218,,,60.37807,,58.17487,,,9,,6
205001021452,,,,,,,,,,,.9886364,,,38.07222,,61.78492,,,13,,13
305001004854,47.67,49.19,0,0,48.28,45.01,0,0,63.96815,46.153,.9764706,.9016393,.95,65.74802,56.16298,58.27239,57.70372,0,5,2,19
305001007594,44.48,51.21,0,2.247191,46.27,45.16,0,0,48.05836,55.95052,1,.875,.9876543,70.11975,55.7705,68.37269,67.31149,0,29,0,27
305001015287,44.48,45.01,0,0,46.16,42.42,0,0,50.86917,52.55022,.9552239,.8210526,.8333333,60.01917,35.8531,54.45296,46.39393,0,7,0,6
305001015686,,,,,45.105,45.085,0,0,,,.9173554,.9680851,.775,47.72605,,29.71309,,0,5,0,11
305001016542,,,,,46.16,39.53,0,0,,,1,,.8787879,51.19485,,51.29443,,0,6,0,5
305001018022,44.48,45.01,0,0,44.05,42.33,0,0,50.07902,50.85007,.8505747,.8095238,.5151515,50.90868,28.79784,51.30376,42.04919,0,2,0,0
305001018839,47.67,47.14,0,0,46.16,45.16,0,0,37.6129,49.75956,.9072165,.8309859,.9591837,53.28463,67.81055,45.47432,76.71584,4,18,11,21
305001019690,44.48,47.14,0,0,46.27,45.01,0,0,60.89011,54.67541,.872771,.7647059,.7763158,53.88041,23.18262,53.11685,37.29703,0,3,0,4
305001022232,47.67,45.01,0,0,46.16,42.42,0,0,50.86917,40.14207,.9536424,.7671233,.8627451,,,,,0,2,0,2
305001022640,,,,,46.16,39.53,0,0,,,.8467153,.8888889,.8275862,,,,,,3,,2
